city_name,avg_pm25,median_pm25,max_pm25,avg_pm10,observation_count,pm25_avg_rank,pm25_max_rank,pm10_avg_rank,hotspot_score
Dubai,71.61907816279069,71.806666,97.534545,252.6842206744186,43,1.0,2.0,1.0,1.3333333333333333
Kolkata,41.4802236744186,35.525,111.07,45.12243120930233,43,3.0,1.0,4.0,2.6666666666666665
Patna,45.47857911904762,44.5027965,76.698461,49.9861980952381,42,2.0,4.0,3.0,3.0
Delhi,34.709476595238094,32.875,76.708571,65.62912773809524,42,5.0,3.0,2.0,3.3333333333333335
Lucknow,38.83529157142857,38.2366665,67.786666,43.08827383333333,42,4.0,5.0,5.0,4.666666666666667
Bhubaneswar,29.205256619047617,27.072499999999998,50.973333,32.44677130952381,42,6.0,6.0,7.0,6.333333333333333
Singapore,16.318013268292685,15.862857,31.455454,22.40366117073171,41,7.0,8.0,8.0,7.666666666666667
Jaipur,14.721585285714287,13.8616665,21.44,37.42592685714286,42,8.0,10.0,6.0,8.0
London,11.284600285714285,4.3822725,25.54,14.107757214285714,42,10.0,9.0,11.0,10.0
Chennai,11.826754142857144,10.896923000000001,20.44,15.198474976190477,42,9.0,11.0,10.0,10.0
Tokyo,8.732150243902439,4.392727,32.37,13.694620073170732,41,13.0,7.0,12.0,10.666666666666666
Bhopal,10.935395857142858,11.541615,19.13,12.405910285714285,42,11.0,12.0,13.0,12.0
Ahmedabad,8.086317142857142,7.8607689999999995,11.97,17.22272376190476,42,14.0,14.0,9.0,12.333333333333334
Guwahati,8.835183609756097,8.056666,15.166923,10.087167634146342,41,12.0,13.0,15.0,13.333333333333334
Bengaluru,6.257727585365853,6.5075,9.405555,9.790436975609756,41,15.0,15.0,16.0,15.333333333333334
Mumbai,5.081578756097561,5.021666,7.64,12.165599317073172,41,17.0,17.0,14.0,16.0
New York,5.341630395348837,5.27,8.64375,6.654796534883721,43,16.0,16.0,18.0,16.666666666666668
Pune,4.142827476190476,4.232481999999999,5.395454,7.560092738095237,42,18.0,19.0,17.0,18.0
Hyderabad,3.5221614634146343,3.39,6.523636,4.663788512195122,41,19.0,18.0,20.0,19.0
Kochi,1.778692,1.879,2.38,4.67436,41,20.0,20.0,19.0,19.666666666666668
